"cod_ibge","ivs_renda_e_trabalho_quartile","renda_per_capita_quartile","i_gini_quartile","t_analf_15m_quartile","ivs_capital_humano_quartile","t_sem_agua_esgoto_quartile","t_sem_lixo_quartile"
"351930",3,1,1,2,4,2,1
"351940",2,4,3,3,3,3,1
"351950",3,2,2,2,3,2,1
"351960",1,3,2,1,3,3,3
"351970",4,2,3,3,4,4,4
"351980",3,3,3,2,2,2,3
"351990",3,2,2,3,4,4,3
"352000",3,2,1,4,3,1,3
"352010",2,4,4,3,3,3,4
"352020",3,1,1,4,2,4,4
"352030",4,1,4,3,3,4,4
"352042",4,2,3,1,3,3,4
"352044",1,4,3,1,1,2,4
"352040",2,3,4,1,3,4,3
"352050",1,4,3,1,1,3,2
"352060",4,2,3,2,2,1,1
"352070",4,2,3,4,1,2,4
"352080",3,1,1,4,2,2,1
"352090",3,2,3,2,3,1,1
"352100",2,1,1,1,3,4,1
"352110",1,3,3,2,2,3,1
"352115",2,2,1,2,2,3,1
"352120",4,1,4,4,4,4,2
"352130",4,4,4,3,4,1,3
"352140",2,4,1,1,1,1,1
"352150",2,1,1,4,3,1,3
"352160",4,2,2,4,4,4,3
"352170",4,1,4,3,4,4,3
"352180",4,2,3,3,4,4,3
"352190",2,3,1,3,3,2,4
"352200",1,2,1,3,2,1,1
"352210",4,3,4,2,3,4,4
"352215",4,1,4,4,3,4,4
"352220",3,2,3,2,3,4,4
"352230",3,3,4,1,3,3,3
"352240",4,2,4,2,3,4,4
"352250",3,1,3,1,4,4,4
"352260",1,4,3,2,1,1,2
"352265",4,1,4,4,4,4,4
"352270",1,3,3,2,3,2,2
"352280",4,1,4,4,4,3,3
"352290",3,3,1,2,3,2,2
"352300",4,1,3,4,3,4,4
"352310",4,1,2,2,4,4,4
"352320",4,1,3,2,4,3,3
"352330",4,1,4,3,4,4,4
"352340",1,4,3,1,1,4,2
"352350",4,1,2,3,4,2,2
"352360",2,3,3,3,4,4,1
"352370",2,1,2,3,3,3,2
"352380",2,2,2,3,3,2,3
"352390",1,4,4,1,3,2,3
"352400",1,4,2,1,2,4,2
"352410",2,4,4,2,1,2,2
"352420",2,1,1,3,3,1,1
"352430",2,4,4,1,2,1,3
"352440",3,4,4,1,1,3,3
"352450",1,2,1,3,2,2,2
"352460",3,1,4,3,4,4,2
"352470",1,4,4,1,1,2,2
"352480",2,4,3,2,1,2,2
"352490",1,3,4,2,3,3,4
"352500",2,3,3,1,3,4,2
"352510",2,3,3,1,4,3,2
"352520",2,3,3,2,3,4,4
"352530",1,4,3,1,2,2,2
"352540",2,1,2,4,4,1,2
"352550",3,2,2,3,4,4,4
"352560",3,2,2,4,4,4,1
"352570",1,4,3,2,1,4,3
"352580",3,1,2,4,4,4,4
