"cod_ibge","pct_branca","pct_preta","pct_amarela","pct_parda","pct_indigena","Branca_Q","Preta_Q","Amarela_Q","Parda_Q","Indigena_Q","pct_other","Other_Q"
"352580",43.46,4.58,0.59,51.34,0.02,1,2,3,4,1,5.19,2
"352585",64.46,6.18,0.03,29.29,0.03,3,3,1,2,1,6.24,2
"352590",69.74,5.62,0.91,23.65,0.06,4,3,4,1,2,6.59,3
"352600",57.02,4.57,1.72,36.63,0.05,2,2,4,3,2,6.34,2
"352610",45.28,5.9,1.55,47.11,0.16,1,3,4,4,4,7.61,3
"352620",55.39,6.08,0.5,37.9,0.12,2,3,3,3,4,6.7,3
"352630",71.77,3.54,0.16,24.47,0.06,4,1,1,1,2,3.76,1
"352640",67.1,6.53,0.31,26.05,0.01,4,3,2,1,1,6.85,3
"352650",46.52,10.74,1.15,41.47,0.07,1,4,4,4,3,11.96,4
"352660",62.07,5.54,0.26,32.12,0.01,3,2,2,2,1,5.81,2
"352670",65.17,5.42,0.27,29.1,0.05,3,2,2,2,2,5.74,2
"352680",67.14,4.66,0.24,27.91,0.05,4,2,2,2,2,4.95,1
"352690",65.23,6.76,0.37,27.58,0.06,3,3,3,1,2,7.19,3
"352700",73.31,4.08,0.44,22.17,NA,4,1,3,1,NA,NA,NA
"352710",58.17,7.16,1.79,32.83,0.05,2,4,4,3,2,9,4
"352720",62.62,6.87,0.4,30.03,0.07,3,3,3,2,3,7.34,3
"352725",61.85,6.72,0.46,30.97,NA,3,3,3,2,NA,NA,NA
"352730",53.68,6.65,0.34,39.26,0.07,2,3,2,4,3,7.06,3
"352740",58.03,5.16,1.04,35.75,0.02,2,2,4,3,1,6.22,2
"352750",59.7,4.68,0.51,35.08,0.04,2,2,3,3,2,5.23,2
"352760",49.88,8.45,0.28,41.32,0.07,1,4,2,4,3,8.8,4
"352770",46.93,6.04,0.13,46.76,0.15,1,3,1,4,4,6.32,2
"352780",48.46,7.46,0.3,43.76,0.03,1,4,2,4,1,7.79,3
"352790",55.73,4.89,0.26,39.05,0.08,2,2,2,3,3,5.23,2
"352800",60.56,6.29,0.06,33.04,0.05,2,3,1,3,2,6.4,3
"352810",73.23,3.8,0.35,22.6,0.03,4,1,2,1,1,4.18,1
"352820",64.67,3.73,0.56,31.01,0.03,3,1,3,2,1,4.32,1
"352830",68.31,3.29,0.06,28.25,0.09,4,1,1,2,3,3.44,1
"352840",52.66,7.12,1,39.12,0.1,2,4,4,3,3,8.22,4
"352850",56.14,6.63,0.74,36.38,0.11,2,3,3,3,4,7.48,3
"352860",72.91,3.43,0.12,23.51,0.02,4,1,1,1,1,3.57,1
"352870",40,7.22,0.26,52.44,0.09,1,4,2,4,3,7.57,3
"352880",64.42,4.45,0.13,30.95,0.06,3,2,1,2,2,4.64,1
"352885",73.88,4.16,0.18,21.78,NA,4,1,1,1,NA,NA,NA
"352890",61.14,3.5,0.57,34.79,NA,3,1,3,3,NA,NA,NA
"352900",59.93,5.95,2.39,31.65,0.09,2,3,4,2,3,8.43,4
"352910",59.09,5.32,0.65,34.89,0.05,2,2,3,3,2,6.02,2
"352920",56.14,5.73,0.57,37.51,0.04,2,3,3,3,2,6.34,2
"352930",62.56,6.02,0.45,30.94,0.02,3,3,3,2,1,6.49,3
"352940",50.37,9.06,0.39,40.09,0.09,1,4,3,4,3,9.54,4
"352950",65.32,5.1,0.21,29.31,0.05,3,2,2,2,2,5.36,2
"352960",65.05,4.16,0.39,30.38,0.02,3,1,3,2,1,4.57,1
"352965",57.53,7.38,0.1,34.99,NA,2,4,1,3,NA,NA,NA
"352970",53.49,6.56,0.76,39.12,0.06,2,3,3,3,2,7.38,3
"352980",66.53,4.04,0.06,29.34,0.03,3,1,1,2,1,4.13,1
"352990",46.77,5.94,1.06,45.45,0.78,1,3,4,4,4,7.78,3
"353000",64.49,4.77,0.35,30.39,NA,3,2,2,2,NA,NA,NA
"353010",54.03,5.23,3.66,37.01,0.06,2,2,4,3,2,8.95,4
"353020",46.47,5.05,1.53,46.88,0.06,1,2,4,4,2,6.64,3
"353030",67.83,5.2,0.32,26.56,0.09,4,2,2,1,3,5.61,2
"353040",65.17,6.04,0.06,28.72,NA,3,3,1,2,NA,NA,NA
"353050",65.92,5.46,0.2,28.37,0.04,3,2,2,2,2,5.7,2
"353060",54.94,8.47,3.68,32.79,0.12,2,4,4,2,4,12.27,4
"353070",72.67,4.37,0.23,22.68,0.04,4,1,2,1,2,4.64,1
"353080",72.79,4.86,0.45,21.76,0.13,4,2,3,1,4,5.44,2
"353090",57.44,6.74,0.03,35.79,NA,2,3,1,3,NA,NA,NA
"353100",71.86,6.35,0.05,21.73,NA,4,3,1,1,NA,NA,NA
"353110",44.42,15.22,0.3,39.28,0.79,1,4,2,4,4,16.31,4
"353120",74.56,4.45,0.41,20.56,0.02,4,2,3,1,1,4.88,1
"353130",70.81,4.97,0.82,23.35,0.05,4,2,4,1,2,5.84,2
"353140",67.19,5.48,0.27,26.97,0.06,4,2,2,1,2,5.81,2
