cod_ibge;nome_municipio;censo_total_estab;censo_estab_usou_agrotox;censo_pct_uso_agrotox;censo_valor_agrotox_mil;censo_n_estab_agrotox;pam_area_colhida_ha;pam_area_plantada_ha;pam_qtd_produzida;pam_valor_prod_mil_reais;sih_n_internacoes_intox;sih_n_internacoes_agrotox;sih_n_obitos_intox;sinan_n_notificacoes_intox;sinan_n_casos_contexto_agric;sisagua_n_amostras;sisagua_n_deteccoes_quant;sisagua_n_agrotox_detectados
355410;Taubaté (SP);351;101;28,8;746,653;101;1239;1239;NA;13840;11;0;1;805;1;653;139;27
355420;Tejupá (SP);309;152;49,2;3522,865;152;11660;11660;NA;113969;1;0;0;11;0;276;0;0
355430;Teodoro Sampaio (SP);976;63;6,5;12655,783;63;43517;43517;NA;380420;8;0;1;18;0;134;0;0
355440;Terra Roxa (SP);140;130;92,9;4422,738;130;17028;17028;NA;182138;0;0;0;1;0;91;0;0
355450;Tietê (SP);417;117;28,1;3200,372;117;17354;17354;NA;123556;2;0;0;29;0;644;0;0
355460;Timburi (SP);139;70;50,4;1240,900;70;2795;2795;NA;37696;3;0;0;8;1;102;0;0
355465;Torre de Pedra (SP);175;4;2,3;NA;4;29;29;NA;319;0;0;0;6;0;90;0;0
355470;Torrinha (SP);421;246;58,4;3177,696;246;11124;11124;NA;154487;1;0;0;16;0;137;20;20
355475;Trabiju (SP);24;7;29,2;34,400;7;2755;2755;NA;30855;0;0;0;0;0;0;0;0
355480;Tremembé (SP);162;72;44,4;1195,956;72;1290;1295;NA;12185;2;0;1;30;0;91;0;0
355490;Três Fronteiras (SP);310;71;22,9;1170,515;71;2653;2653;NA;44033;2;0;1;15;0;31;0;0
355495;Tuiuti (SP);456;187;41,0;453,742;187;1987;1987;NA;23704;2;0;0;3;0;129;0;0
355500;Tupã (SP);723;205;28,4;11354,662;206;24285;24285;NA;294928;8;0;0;96;0;718;0;0
355510;Tupi Paulista (SP);516;215;41,7;4736,419;215;9913;9974;NA;102397;0;0;0;11;0;36;0;0
355520;Turiúba (SP);227;104;45,8;417,419;104;6581;6581;NA;69332;2;0;0;1;0;50;0;0
355530;Turmalina (SP);260;118;45,4;3617,865;118;6762;6762;NA;79676;1;0;0;4;1;136;0;0
355535;Ubarana (SP);57;18;31,6;7231,535;18;14554;14554;NA;170292;1;0;0;5;0;162;0;0
355540;Ubatuba (SP);133;13;9,8;97,300;13;142;142;NA;2883;23;0;1;85;0;576;22;22
355550;Ubirajara (SP);317;121;38,2;9587,704;121;6092;6092;NA;163154;1;0;0;17;0;100;0;0
355560;Uchoa (SP);360;97;26,9;1200,290;97;15527;15527;NA;155352;4;1;0;41;1;33;0;0
355570;União Paulista (SP);78;33;42,3;608,950;33;5404;5404;NA;57246;3;0;0;4;0;91;0;0
355580;Urânia (SP);425;174;40,9;3399,036;174;4873;4873;NA;108841;1;0;0;16;0;98;0;0
355590;Uru (SP);86;51;59,3;2951,396;51;5166;5166;NA;56387;0;0;0;0;0;43;0;0
355600;Urupês (SP);519;379;73,0;5582,731;379;21942;21942;NA;342811;1;0;0;7;0;0;0;0
355610;Valentim Gentil (SP);222;98;44,1;469,250;98;4920;4920;NA;47771;5;0;0;22;0;91;0;0
355620;Valinhos (SP);266;204;76,7;1034,288;204;899;899;NA;134218;12;0;0;149;0;4478;65;17
355630;Valparaíso (SP);177;68;38,4;2745,648;68;59813;59813;NA;463154;3;0;0;38;0;219;0;0
